Calculating reading plan...
book, book chapters, book words, book time, chapter, chapter words, chapter time
2Ch, 36, 26069, 87, 25, 970, 4
2Ch, 36, 26069, 87, 26, 721, 3
2Ch, 36, 26069, 87, 27, 244, 1
2Ch, 36, 26069, 87, 28, 896, 3
2Ch, 36, 26069, 87, 29, 1157, 4
2Ch, 36, 26069, 87, 30, 869, 3
2Ch, 36, 26069, 87, 31, 757, 3
2Ch, 36, 26069, 87, 32, 1084, 4
2Ch, 36, 26069, 87, 33, 780, 3
2Ch, 36, 26069, 87, 34, 1223, 5
2Ch, 36, 26069, 87, 35, 900, 3
2Ch, 36, 26069, 87, 36, 741, 3
Ezr, 10, 7440, 25, 1, 371, 2
Ezr, 10, 7440, 25, 2, 998, 4
Ezr, 10, 7440, 25, 3, 547, 2
Ezr, 10, 7440, 25, 4, 769, 3
Ezr, 10, 7440, 25, 5, 583, 2
Ezr, 10, 7440, 25, 6, 778, 3
Ezr, 10, 7440, 25, 7, 863, 3
Ezr, 10, 7440, 25, 8, 990, 4
Ezr, 10, 7440, 25, 9, 617, 3
Ezr, 10, 7440, 25, 10, 924, 4
Ne, 13, 10480, 35, 1, 390, 2
Ne, 13, 10480, 35, 2, 718, 3
Ne, 13, 10480, 35, 3, 896, 3
Ne, 13, 10480, 35, 4, 716, 3
Ne, 13, 10480, 35, 5, 636, 3
Ne, 13, 10480, 35, 6, 602, 3
Ne, 13, 10480, 35, 7, 1176, 4
Ne, 13, 10480, 35, 8, 686, 3
Ne, 13, 10480, 35, 9, 1328, 5
Ne, 13, 10480, 35, 10, 652, 3
Ne, 13, 10480, 35, 11, 788, 3
Ne, 13, 10480, 35, 12, 930, 4
Ne, 13, 10480, 35, 13, 962, 4
Es, 10, 5633, 19, 1, 716, 3
Es, 10, 5633, 19, 2, 806, 3
Es, 10, 5633, 19, 3, 552, 2
Es, 10, 5633, 19, 4, 517, 2
Es, 10, 5633, 19, 5, 494, 2
Es, 10, 5633, 19, 6, 476, 2
Es, 10, 5633, 19, 7, 345, 2
Es, 10, 5633, 19, 8, 650, 3
Es, 10, 5633, 19, 9, 984, 4
Es, 10, 5633, 19, 10, 93, 1
Job, 42, 18098, 61, 1, 641, 3
Job, 42, 18098, 61, 2, 387, 2
Job, 42, 18098, 61, 3, 434, 2
Job, 42, 18098, 61, 4, 336, 2
Job, 42, 18098, 61, 5, 446, 2
Job, 42, 18098, 61, 6, 482, 2
Job, 42, 18098, 61, 7, 394, 2
Job, 42, 18098, 61, 8, 340, 2
Job, 42, 18098, 61, 9, 544, 2
Job, 42, 18098, 61, 10, 402, 2
Job, 42, 18098, 61, 11, 337, 2
Job, 42, 18098, 61, 12, 399, 2
Job, 42, 18098, 61, 13, 413, 2
Job, 42, 18098, 61, 14, 410, 2
Job, 42, 18098, 61, 15, 549, 2
Job, 42, 18098, 61, 16, 375, 2
Job, 42, 18098, 61, 17, 262, 1
Job, 42, 18098, 61, 18, 342, 2
Job, 42, 18098, 61, 19, 475, 2
Job, 42, 18098, 61, 20, 521, 2
Job, 42, 18098, 61, 21, 522, 2
Job, 42, 18098, 61, 22, 482, 2
Job, 42, 18098, 61, 23, 280, 1
Job, 42, 18098, 61, 24, 481, 2
Job, 42, 18098, 61, 25, 90, 1
Job, 42, 18098, 61, 26, 206, 1
Job, 42, 18098, 61, 27, 373, 2
Job, 42, 18098, 61, 28, 455, 2
Job, 42, 18098, 61, 29, 404, 2
Job, 42, 18098, 61, 30, 514, 2
Job, 42, 18098, 61, 31, 691, 3
Job, 42, 18098, 61, 32, 375, 2
Job, 42, 18098, 61, 33, 525, 2
Job, 42, 18098, 61, 34, 615, 3
Job, 42, 18098, 61, 35, 254, 1
Job, 42, 18098, 61, 36, 495, 2
Job, 42, 18098, 61, 37, 402, 2
Job, 42, 18098, 61, 38, 659, 3
Job, 42, 18098, 61, 39, 477, 2
Job, 42, 18098, 61, 40, 361, 2
Job, 42, 18098, 61, 41, 507, 2
Job, 42, 18098, 61, 42, 441, 2
Ps, 150, 43738, 146, 1, 130, 1
Ps, 150, 43738, 146, 2, 206, 1
Ps, 150, 43738, 146, 3, 150, 1
Ps, 150, 43738, 146, 4, 175, 1
Ps, 150, 43738, 146, 5, 255, 1
Ps, 150, 43738, 146, 6, 171, 1
Ps, 150, 43738, 146, 7, 343, 2
Ps, 150, 43738, 146, 8, 176, 1
Ps, 150, 43738, 146, 9, 377, 2
Ps, 150, 43738, 146, 10, 350, 2
Ps, 150, 43738, 146, 11, 136, 1
Ps, 150, 43738, 146, 12, 157, 1
Ps, 150, 43738, 146, 13, 115, 1
Ps, 150, 43738, 146, 14, 157, 1
Ps, 150, 43738, 146, 15, 103, 1
Ps, 150, 43738, 146, 16, 209, 1
Ps, 150, 43738, 146, 17, 315, 2
Ps, 150, 43738, 146, 18, 965, 4
Ps, 150, 43738, 146, 19, 280, 1
Ps, 150, 43738, 146, 20, 152, 1
Ps, 150, 43738, 146, 21, 254, 1
